query_id,doc_id,relevant
Q005,DOC0030,0
Q005,DOC0031,0
Q005,DOC0032,0
Q005,DOC0033,0
Q005,DOC0034,0
Q005,DOC0035,0
Q005,DOC0036,0
Q005,DOC0037,0
Q005,DOC0038,0
Q005,DOC0039,0
Q005,DOC0040,0
Q005,DOC0041,0
Q005,DOC0042,0
Q005,DOC0043,0
Q005,DOC0044,0
Q005,DOC0045,0
Q005,DOC0046,0
Q005,DOC0047,0
Q005,DOC0048,0
Q005,DOC0049,0
Q005,DOC0050,0
